dataset_name	uuid	system	path
TCGA-06-A5U0-01A-11D-A33T-08.wxs.T.hg38	9af26d5b-ed91-4e42-b278-4eb0616926fe	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/9af26d5b-ed91-4e42-b278-4eb0616926fe/C484.TCGA-06-A5U0-01A-11D-A33T-08.1_gdc_realn.bam
TCGA-06-A5U0-10A-01D-A33W-08.wxs.N.hg38	08e280f7-6fea-40c5-a232-252a520522a9	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/08e280f7-6fea-40c5-a232-252a520522a9/C484.TCGA-06-A5U0-10A-01D-A33W-08.1_gdc_realn.bam
TCGA-06-A6S1-01A-11D-A33T-08.wxs.T.hg38	d994ce8b-31ad-4e78-9cdd-a51ef37f3958	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/d994ce8b-31ad-4e78-9cdd-a51ef37f3958/C484.TCGA-06-A6S1-01A-11D-A33T-08.1_gdc_realn.bam
TCGA-06-A6S1-10A-01D-A33W-08.wxs.N.hg38	bb6513c2-2ec9-4009-be7f-0bd0972ea806	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/bb6513c2-2ec9-4009-be7f-0bd0972ea806/C484.TCGA-06-A6S1-10A-01D-A33W-08.1_gdc_realn.bam
TCGA-06-A7TK-01A-21D-A391-08.wxs.T.hg38	f7711993-7260-4a48-a538-b18538212bc0	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/f7711993-7260-4a48-a538-b18538212bc0/C484.TCGA-06-A7TK-01A-21D-A391-08.3_gdc_realn.bam
TCGA-06-A7TK-10A-01D-A394-08.wxs.N.hg38	7eaab3a4-d7be-425f-b538-561f8ec5b72d	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/7eaab3a4-d7be-425f-b538-561f8ec5b72d/C484.TCGA-06-A7TK-10A-01D-A394-08.1_gdc_realn.bam
TCGA-06-A7TL-01A-11D-A391-08.wxs.T.hg38	49278925-4b6e-4246-bd28-33ccb6dfee46	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/49278925-4b6e-4246-bd28-33ccb6dfee46/C484.TCGA-06-A7TL-01A-11D-A391-08.2_gdc_realn.bam
TCGA-06-A7TL-10A-01D-A394-08.wxs.N.hg38	d9c35e06-690c-498d-b726-d2b05edb371c	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/d9c35e06-690c-498d-b726-d2b05edb371c/C484.TCGA-06-A7TL-10A-01D-A394-08.2_gdc_realn.bam
TCGA-2G-AAFM-01A-11D-A42Y-10.wxs.T.hg38	a7cfd0e6-905a-4fae-bdc8-cb050a5585fa	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/a7cfd0e6-905a-4fae-bdc8-cb050a5585fa/TCGA-2G-AAFM-01A-11D-A42Y-10_Illumina_gdc_realn.bam
TCGA-2G-AAFM-10A-01D-A433-10.wxs.N.hg38	858551ad-70b9-4707-a144-d8b4897ba01e	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/858551ad-70b9-4707-a144-d8b4897ba01e/TCGA-2G-AAFM-10A-01D-A433-10_Illumina_gdc_realn.bam
